base,layer,head,score_base,score_ppo,delta_induction
200M,0,0,0.019373353570699692,0.01938420720398426,1.0853633284568787e-05
200M,0,1,0.01960388943552971,0.02105017751455307,0.0014462880790233612
200M,0,2,0.012288489378988743,0.012390474788844585,0.00010198540985584259
200M,0,3,0.01829223893582821,0.019132331013679504,0.0008400920778512955
200M,0,4,0.019139524549245834,0.019158747047185898,1.9222497940063477e-05
200M,0,5,0.011770854704082012,0.011766131035983562,-4.723668098449707e-06
200M,0,6,0.019543400034308434,0.01959487982094288,5.147978663444519e-05
200M,0,7,0.020450307056307793,0.02109512872993946,0.0006448216736316681
200M,0,8,0.010372125543653965,0.01030292734503746,-6.919819861650467e-05
200M,0,9,0.0226916316896677,0.022559942677617073,-0.00013168901205062866
200M,0,10,0.018409864977002144,0.018583066761493683,0.000173201784491539
200M,0,11,0.011646791361272335,0.011232919059693813,-0.00041387230157852173
200M,1,0,0.019234521314501762,0.01870064064860344,-0.0005338806658983231
200M,1,1,0.022673718631267548,0.022414248436689377,-0.0002594701945781708
200M,1,2,0.02000594139099121,0.01993577554821968,-7.016584277153015e-05
200M,1,3,0.021809693425893784,0.02150973677635193,-0.00029995664954185486
200M,1,4,0.020817449316382408,0.021865403279662132,0.0010479539632797241
200M,1,5,0.02396184764802456,0.02383393980562687,-0.00012790784239768982
200M,1,6,0.020922238007187843,0.020569875836372375,-0.00035236217081546783
200M,1,7,0.01612260937690735,0.01603904739022255,-8.35619866847992e-05
200M,1,8,0.020274898037314415,0.019979408010840416,-0.000295490026473999
200M,1,9,0.02333017624914646,0.024611761793494225,0.001281585544347763
200M,1,10,0.016431493684649467,0.016351476311683655,-8.001737296581268e-05
200M,1,11,0.02312593162059784,0.022644877433776855,-0.0004810541868209839
200M,2,0,0.010503310710191727,0.010622608475387096,0.00011929776519536972
200M,2,1,0.00641705421730876,0.006155206821858883,-0.0002618473954498768
200M,2,2,0.02252979949116707,0.023116881027817726,0.0005870815366506577
200M,2,3,0.01253837626427412,0.012530555948615074,-7.820315659046173e-06
200M,2,4,0.010964897461235523,0.011589177884161472,0.0006242804229259491
200M,2,5,0.02075471170246601,0.020135752856731415,-0.0006189588457345963
200M,2,6,0.009176851250231266,0.008877222426235676,-0.0002996288239955902
200M,2,7,0.009473497048020363,0.009893761947751045,0.0004202648997306824
