checkpoint,layer,head,entropy
60M,8,11,1.7539489269256592
60M,9,0,1.859959602355957
60M,9,1,2.0614356994628906
60M,9,2,1.5276349782943726
60M,9,3,1.9582090377807617
60M,9,4,1.0466749668121338
60M,9,5,0.9508442878723145
60M,9,6,1.474707841873169
60M,9,7,1.667671799659729
60M,9,8,2.1128807067871094
60M,9,9,1.4305970668792725
60M,9,10,1.784401297569275
60M,9,11,1.4685027599334717
60M,10,0,2.11468243598938
60M,10,1,2.303461790084839
60M,10,2,1.2961792945861816
60M,10,3,1.9871152639389038
60M,10,4,1.549957513809204
60M,10,5,1.3623311519622803
60M,10,6,1.501517653465271
60M,10,7,1.5071426630020142
60M,10,8,1.872576117515564
60M,10,9,2.1596851348876953
60M,10,10,2.0343692302703857
60M,10,11,2.030886650085449
60M,11,0,2.1267454624176025
60M,11,1,1.838740587234497
60M,11,2,2.0207104682922363
60M,11,3,2.121245861053467
60M,11,4,1.6905063390731812
60M,11,5,2.0354301929473877
60M,11,6,2.115570306777954
60M,11,7,2.2410950660705566
60M,11,8,2.0523569583892822
60M,11,9,1.8318889141082764
60M,11,10,2.214679479598999
60M,11,11,1.835260033607483
100M,0,0,2.2606589794158936
100M,0,1,2.401007890701294
100M,0,2,1.8647661209106445
100M,0,3,2.2621140480041504
100M,0,4,2.2251389026641846
100M,0,5,1.540238380432129
100M,0,6,2.3711695671081543
100M,0,7,2.483933925628662
100M,0,8,1.8202730417251587
100M,0,9,2.5679562091827393
100M,0,10,2.4525773525238037
100M,0,11,1.7844947576522827
100M,1,0,2.2275283336639404
100M,1,1,2.2662651538848877
100M,1,2,2.2359776496887207
100M,1,3,2.4115142822265625
100M,1,4,1.420111894607544
100M,1,5,1.8594443798065186
100M,1,6,2.252285957336426
100M,1,7,2.275458574295044
100M,1,8,2.288855791091919
100M,1,9,1.4291526079177856
100M,1,10,2.235698699951172
100M,1,11,2.3369789123535156
100M,2,0,1.9387381076812744
100M,2,1,2.004453182220459
100M,2,2,2.460480213165283
100M,2,3,1.8252484798431396
100M,2,4,2.203000783920288
100M,2,5,2.387288808822632
100M,2,6,1.5696604251861572
100M,2,7,2.275063991546631
100M,2,8,2.048196792602539
100M,2,9,2.2959837913513184
100M,2,10,2.3526339530944824
100M,2,11,2.112179756164551
100M,3,0,1.9206136465072632
100M,3,1,1.2294731140136719
100M,3,2,2.163878917694092
100M,3,3,1.997498869895935
100M,3,4,2.0340678691864014
100M,3,5,2.4284937381744385
100M,3,6,1.9881439208984375
100M,3,7,2.2184863090515137
100M,3,8,2.058673858642578
100M,3,9,1.7870219945907593
100M,3,10,2.1700475215911865
100M,3,11,2.1438536643981934
100M,4,0,1.8237597942352295
100M,4,1,1.9768775701522827
100M,4,2,1.7788441181182861
100M,4,3,1.959995985031128
100M,4,4,1.8955656290054321
100M,4,5,1.5062754154205322
100M,4,6,2.1838479042053223
100M,4,7,1.9088642597198486
100M,4,8,2.0994181632995605
100M,4,9,2.1259090900421143
100M,4,10,1.6428495645523071
100M,4,11,1.9501028060913086
100M,5,0,2.0095767974853516
100M,5,1,1.3061778545379639
100M,5,2,2.17850923538208
100M,5,3,1.866906762123108
100M,5,4,1.8238630294799805
