checkpoint,layer,head,dla_contribution
200M,5,5,0.011246529291383922
200M,5,6,-0.015604764223098755
200M,5,7,-0.0127902029780671
200M,5,8,-0.007675740169361234
200M,5,9,-0.01932095957454294
200M,5,10,-0.018955802777782083
200M,5,11,-0.0030506172915920615
200M,6,0,0.007749364711344242
200M,6,1,-0.017911832430399954
200M,6,2,0.012699045008048415
200M,6,3,-5.6818302255123854e-05
200M,6,4,0.0009219240164384246
200M,6,5,-2.1133222617208958e-05
200M,6,6,0.007151815458200872
200M,6,7,-0.02072935737669468
200M,6,8,-0.0015046014450490475
200M,6,9,0.0030601489124819636
200M,6,10,-0.010553376050665975
200M,6,11,0.03155138297006488
200M,7,0,-0.0011290726251900196
200M,7,1,0.01690925029106438
200M,7,2,0.002248404547572136
200M,7,3,-0.03473312337882817
200M,7,4,0.004250996862538159
200M,7,5,0.011862175073474646
200M,7,6,-0.06344051100313663
200M,7,7,0.015243163332343102
200M,7,8,-0.09028345998376608
200M,7,9,-0.015927831176668406
200M,7,10,0.00292005343362689
200M,7,11,0.0018689325079321861
200M,8,0,-0.0829766197130084
200M,8,1,-0.01453889487311244
200M,8,2,0.005993458442389965
200M,8,3,-0.005504539469256997
200M,8,4,-0.08159247413277626
200M,8,5,0.005765335168689489
200M,8,6,-0.01480814628303051
200M,8,7,-0.008260895730927587
200M,8,8,0.03443409991450608
200M,8,9,0.002044912427663803
200M,8,10,-0.0036072712391614914
200M,8,11,-0.014727613888680935
200M,9,0,-0.0014860547380521894
200M,9,1,-0.004998479038476944
200M,9,2,-0.031138583552092314
200M,9,3,0.02313953242264688
200M,9,4,-0.0024827029556035995
200M,9,5,-0.009479481959715486
200M,9,6,-0.03632712899707258
200M,9,7,-0.029162143589928746
200M,9,8,0.009182660840451717
200M,9,9,0.013163195457309484
200M,9,10,-0.09192248713225126
200M,9,11,-0.028445300413295627
200M,10,0,0.0020795573946088552
200M,10,1,-0.0011757354950532317
200M,10,2,-0.28516998421400785
200M,10,3,0.0044163401471450925
200M,10,4,0.013625714695081115
200M,10,5,-0.13884050585329533
200M,10,6,-0.0026356657035648823
200M,10,7,-0.042490159859880805
200M,10,8,0.01413527992554009
200M,10,9,-0.011968531413003802
200M,10,10,5.0658825784921646e-05
200M,10,11,0.008209578925743699
200M,11,0,-0.0007548539433628321
200M,11,1,-0.0010658797109499574
200M,11,2,0.007177831372246146
200M,11,3,-0.0003513691481202841
200M,11,4,0.017257617553696036
200M,11,5,0.011249909410253167
200M,11,6,0.0050239532720297575
200M,11,7,-0.003018687362782657
200M,11,8,0.004411699948832393
200M,11,9,-0.024523911997675896
200M,11,10,0.0033097033156082034
200M,11,11,-0.018928835168480873
50M,0,0,-0.00046710252354387194
50M,0,1,-1.7293496057391167e-07
50M,0,2,-0.007270552450791001
50M,0,3,0.0028677038935711607
50M,0,4,0.00026514529599808156
50M,0,5,-0.0003226773114874959
50M,0,6,-0.001202407387609128
50M,0,7,0.0015245935646817088
