layer,head,dla_contribution,probe,checkpoint
0,6,-0.0029967431910336018,man/woman,10M
0,7,0.0010696242097765207,man/woman,10M
0,8,-8.745072409510612e-05,man/woman,10M
0,9,-0.0008765012607909739,man/woman,10M
0,10,-0.0020563900470733643,man/woman,10M
0,11,-0.0009070798987522721,man/woman,10M
1,0,0.0038462260272353888,man/woman,10M
1,1,-0.0002829967997968197,man/woman,10M
1,2,0.0034835750702768564,man/woman,10M
1,3,0.0074259331449866295,man/woman,10M
1,4,0.003385318908840418,man/woman,10M
1,5,-0.0026296088472008705,man/woman,10M
1,6,0.007118824869394302,man/woman,10M
1,7,0.005830793641507626,man/woman,10M
1,8,0.00857169646769762,man/woman,10M
1,9,0.006690219044685364,man/woman,10M
1,10,-0.0035919384099543095,man/woman,10M
1,11,-0.004479346796870232,man/woman,10M
2,0,-0.0020814246963709593,man/woman,10M
2,1,-0.0013627434382215142,man/woman,10M
2,2,-0.01050934661179781,man/woman,10M
2,3,0.007848250679671764,man/woman,10M
2,4,-0.0014994596131145954,man/woman,10M
2,5,-4.007061943411827e-05,man/woman,10M
2,6,-0.0024414476938545704,man/woman,10M
2,7,0.004848488140851259,man/woman,10M
2,8,0.0006197881884872913,man/woman,10M
2,9,-0.0011899860110133886,man/woman,10M
2,10,-0.0004030257696285844,man/woman,10M
2,11,-8.629169315099716e-06,man/woman,10M
3,0,0.0019173966720700264,man/woman,10M
3,1,-0.0024117722641676664,man/woman,10M
3,2,0.005718689877539873,man/woman,10M
3,3,0.01131924893707037,man/woman,10M
3,4,-0.0011536905076354742,man/woman,10M
3,5,0.0014362938236445189,man/woman,10M
3,6,0.005517526995390654,man/woman,10M
3,7,0.0016894310247153044,man/woman,10M
3,8,-0.004337731283158064,man/woman,10M
3,9,0.0042211683467030525,man/woman,10M
3,10,-0.0006048890063539147,man/woman,10M
3,11,0.002220870926976204,man/woman,10M
4,0,9.818060789257288e-06,man/woman,10M
4,1,0.0019597960636019707,man/woman,10M
4,2,-0.0005539664416573942,man/woman,10M
4,3,-0.0014322707429528236,man/woman,10M
4,4,-0.00012528174556791782,man/woman,10M
4,5,0.00302693503908813,man/woman,10M
4,6,0.0024608494713902473,man/woman,10M
4,7,0.0009267880814149976,man/woman,10M
4,8,0.0014529699692502618,man/woman,10M
4,9,0.0008844125550240278,man/woman,10M
4,10,-0.002410375978797674,man/woman,10M
4,11,-0.0018541791941970587,man/woman,10M
5,0,-0.005515749566257,man/woman,10M
5,1,-0.0003752571064978838,man/woman,10M
5,2,0.00440383143723011,man/woman,10M
5,3,0.0024900813587009907,man/woman,10M
5,4,-0.001276683178730309,man/woman,10M
5,5,0.0028979016933590174,man/woman,10M
5,6,0.0032495716586709023,man/woman,10M
5,7,0.0023160818964242935,man/woman,10M
5,8,0.005469357129186392,man/woman,10M
5,9,0.00011509499745443463,man/woman,10M
5,10,0.0008474322967231274,man/woman,10M
5,11,0.0031845937483012676,man/woman,10M
6,0,0.0012028012424707413,man/woman,10M
6,1,-0.0017622144659981132,man/woman,10M
6,2,0.003927706740796566,man/woman,10M
6,3,-0.0013405443169176579,man/woman,10M
6,4,0.0032392600551247597,man/woman,10M
6,5,0.0028910054825246334,man/woman,10M
6,6,0.0022875803988426924,man/woman,10M
6,7,0.0028440733440220356,man/woman,10M
6,8,0.0036880350671708584,man/woman,10M
6,9,0.0010255191009491682,man/woman,10M
6,10,0.004034292884171009,man/woman,10M
6,11,-0.001870624953880906,man/woman,10M
7,0,-0.004112910944968462,man/woman,10M
7,1,0.0028052558191120625,man/woman,10M
7,2,-0.004077584017068148,man/woman,10M
7,3,0.0008873428450897336,man/woman,10M
7,4,-0.0010759830474853516,man/woman,10M
7,5,-0.008910233154892921,man/woman,10M
7,6,0.005134684965014458,man/woman,10M
7,7,0.0008750672568567097,man/woman,10M
7,8,0.0001650212798267603,man/woman,10M
7,9,0.003237843979150057,man/woman,10M
7,10,-0.005102407652884722,man/woman,10M
7,11,-0.002306651324033737,man/woman,10M
8,0,0.002833233680576086,man/woman,10M
8,1,0.0008178949356079102,man/woman,10M
8,2,-0.000747155281715095,man/woman,10M
8,3,0.00700624193996191,man/woman,10M
8,4,-0.002793045248836279,man/woman,10M
8,5,0.00048741279169917107,man/woman,10M
8,6,0.011673932895064354,man/woman,10M
8,7,0.0014180780854076147,man/woman,10M
8,8,-0.0016709523042663932,man/woman,10M
8,9,-0.002821838017553091,man/woman,10M
8,10,0.0037053085397928953,man/woman,10M
8,11,0.0009485759073868394,man/woman,10M
9,0,0.004494779743254185,man/woman,10M
9,1,0.004044037777930498,man/woman,10M
9,2,0.0034273562487214804,man/woman,10M
9,3,0.00560534093528986,man/woman,10M
9,4,0.002209449652582407,man/woman,10M
9,5,0.007560545112937689,man/woman,10M
9,6,0.006467292085289955,man/woman,10M
9,7,0.005298059433698654,man/woman,10M
9,8,0.002774749416857958,man/woman,10M
9,9,0.005198745988309383,man/woman,10M
9,10,0.004799623973667622,man/woman,10M
9,11,0.005047651473432779,man/woman,10M
10,0,0.006111800204962492,man/woman,10M
10,1,0.009058373048901558,man/woman,10M
10,2,0.005366549827158451,man/woman,10M
10,3,0.004373217932879925,man/woman,10M
10,4,0.002852661069482565,man/woman,10M
10,5,0.0006398342084139585,man/woman,10M
10,6,0.0062818448059260845,man/woman,10M
10,7,0.010144421830773354,man/woman,10M
10,8,0.00020011269953101873,man/woman,10M
10,9,0.004172394517809153,man/woman,10M
10,10,0.0065827141515910625,man/woman,10M
10,11,0.005378976929932833,man/woman,10M
11,0,0.009178292006254196,man/woman,10M
11,1,0.0039716316387057304,man/woman,10M
11,2,0.0011372709413990378,man/woman,10M
11,3,0.004318770952522755,man/woman,10M
11,4,0.010185077786445618,man/woman,10M
11,5,0.003449852578341961,man/woman,10M
11,6,0.00743274949491024,man/woman,10M
11,7,0.005737599451094866,man/woman,10M
11,8,0.003858326468616724,man/woman,10M
11,9,0.01032459456473589,man/woman,10M
11,10,0.005710666999220848,man/woman,10M
11,11,-0.0038116970099508762,man/woman,10M
0,0,-0.0023644715547561646,dog/cat,50M
0,1,0.0014929777244105935,dog/cat,50M
0,2,-0.005716988816857338,dog/cat,50M
0,3,-0.0005175870028324425,dog/cat,50M
0,4,-0.004090518690645695,dog/cat,50M
0,5,-0.00955708883702755,dog/cat,50M
0,6,-0.0015599174657836556,dog/cat,50M
0,7,-0.002407253021374345,dog/cat,50M
0,8,-0.003235704731196165,dog/cat,50M
0,9,-0.0005102025461383164,dog/cat,50M
0,10,-0.003912249114364386,dog/cat,50M
0,11,-0.004806093871593475,dog/cat,50M
1,0,0.00364741962403059,dog/cat,50M
1,1,-0.017104167491197586,dog/cat,50M
1,2,0.0017392763402312994,dog/cat,50M
1,3,0.005738112144172192,dog/cat,50M
1,4,0.009678643196821213,dog/cat,50M
1,5,0.0007933713495731354,dog/cat,50M
1,6,-0.009007740765810013,dog/cat,50M
1,7,0.004958189558237791,dog/cat,50M
1,8,0.03446346893906593,dog/cat,50M
1,9,0.009237938560545444,dog/cat,50M
1,10,-0.010203903540968895,dog/cat,50M
1,11,0.021884195506572723,dog/cat,50M
2,0,0.015146276913583279,dog/cat,50M
2,1,0.023032207041978836,dog/cat,50M
2,2,0.014157386496663094,dog/cat,50M
2,3,0.01542181707918644,dog/cat,50M
2,4,0.011700969189405441,dog/cat,50M
2,5,0.007636867929250002,dog/cat,50M
2,6,0.015132836066186428,dog/cat,50M
2,7,-0.02145947888493538,dog/cat,50M
2,8,0.008096454665064812,dog/cat,50M
2,9,0.01049375906586647,dog/cat,50M
2,10,-0.034040771424770355,dog/cat,50M
2,11,0.017996594309806824,dog/cat,50M
3,0,0.011980373412370682,dog/cat,50M
3,1,0.00874403491616249,dog/cat,50M
3,2,-0.010858776047825813,dog/cat,50M
