checkpoint,layer,head,entropy
50M,11,0,2.335426092147827
50M,11,1,2.030982255935669
50M,11,2,1.8786094188690186
50M,11,3,2.272761106491089
50M,11,4,2.345036506652832
50M,11,5,2.247199296951294
50M,11,6,2.2392334938049316
50M,11,7,2.522831678390503
50M,11,8,2.2604598999023438
50M,11,9,1.8352458477020264
50M,11,10,2.475450277328491
50M,11,11,2.444330930709839
200M,0,0,2.295552968978882
200M,0,1,2.41656756401062
200M,0,2,1.3678553104400635
200M,0,3,1.0755888223648071
200M,0,4,2.1028406620025635
200M,0,5,0.7223387956619263
200M,0,6,1.9619336128234863
200M,0,7,2.417818307876587
200M,0,8,1.1739847660064697
200M,0,9,2.586625814437866
200M,0,10,2.3943588733673096
200M,0,11,0.832881510257721
200M,1,0,2.4164931774139404
200M,1,1,2.266425609588623
200M,1,2,2.0715181827545166
200M,1,3,2.2716894149780273
200M,1,4,0.26049065589904785
200M,1,5,1.556283712387085
200M,1,6,2.161752700805664
200M,1,7,2.5276389122009277
200M,1,8,2.2859654426574707
200M,1,9,0.8560069799423218
200M,1,10,2.525773048400879
200M,1,11,2.1916563510894775
200M,2,0,2.0588457584381104
200M,2,1,1.6483817100524902
200M,2,2,2.1517515182495117
200M,2,3,2.0119059085845947
200M,2,4,1.495894432067871
200M,2,5,2.0617761611938477
200M,2,6,1.8758682012557983
200M,2,7,1.970473051071167
200M,2,8,2.2272162437438965
200M,2,9,2.2019970417022705
200M,2,10,2.482591390609741
200M,2,11,1.8368747234344482
200M,3,0,1.5641865730285645
200M,3,1,1.2132437229156494
200M,3,2,2.4060213565826416
200M,3,3,2.2554078102111816
200M,3,4,1.6088945865631104
200M,3,5,2.3625636100769043
200M,3,6,2.360349655151367
200M,3,7,2.0532588958740234
200M,3,8,2.160020589828491
200M,3,9,1.8925821781158447
200M,3,10,1.88309907913208
200M,3,11,2.1451687812805176
200M,4,0,1.550062894821167
200M,4,1,1.8783475160598755
200M,4,2,0.31626152992248535
200M,4,3,2.461021900177002
200M,4,4,1.9805669784545898
200M,4,5,2.2158854007720947
200M,4,6,2.11313796043396
200M,4,7,2.110198736190796
200M,4,8,2.0964527130126953
200M,4,9,2.0432052612304688
200M,4,10,1.1895405054092407
200M,4,11,1.741084337234497
200M,5,0,1.794754981994629
200M,5,1,1.628047227859497
200M,5,2,2.3061087131500244
200M,5,3,2.212141752243042
200M,5,4,2.1513917446136475
200M,5,5,2.1238434314727783
200M,5,6,1.2179648876190186
200M,5,7,1.9101488590240479
200M,5,8,0.9591182470321655
200M,5,9,0.7289291024208069
200M,5,10,2.145036458969116
200M,5,11,2.101836919784546
200M,6,0,0.09113746881484985
200M,6,1,1.4465177059173584
200M,6,2,1.5889114141464233
200M,6,3,2.393827199935913
200M,6,4,2.376922607421875
200M,6,5,1.9284709692001343
200M,6,6,1.934611201286316
200M,6,7,1.293583631515503
200M,6,8,1.8738244771957397
200M,6,9,2.3302221298217773
200M,6,10,2.2939748764038086
200M,6,11,0.48575836420059204
200M,7,0,1.9594166278839111
200M,7,1,1.1353228092193604
200M,7,2,1.4451390504837036
200M,7,3,1.085123062133789
200M,7,4,2.205211639404297
200M,7,5,1.9984610080718994
200M,7,6,1.844682216644287
200M,7,7,0.261857807636261
200M,7,8,1.3371820449829102
200M,7,9,1.9103037118911743
200M,7,10,2.1680588722229004
200M,7,11,2.136585235595703
200M,8,0,0.5790707468986511
200M,8,1,1.5267101526260376
200M,8,2,2.2256782054901123
200M,8,3,1.7908015251159668
200M,8,4,1.91962730884552
200M,8,5,1.6658108234405518
200M,8,6,1.7907792329788208
200M,8,7,2.1614084243774414
200M,8,8,0.03896286338567734
