checkpoint,layer,head,dla_score
200M,1,3,0.004620743449777365
200M,1,4,0.013056929223239422
200M,1,5,0.0025637587532401085
200M,1,6,0.011022685095667839
200M,1,7,0.0018330567982047796
200M,1,8,0.016478151082992554
200M,1,9,-0.007873776368796825
200M,1,10,0.0022696005180478096
200M,1,11,-0.016632311046123505
200M,2,0,0.012431186623871326
200M,2,1,-0.005372574552893639
200M,2,2,-0.0021088384091854095
200M,2,3,0.019568370655179024
200M,2,4,-0.010561773553490639
200M,2,5,-0.01182371936738491
200M,2,6,-0.0006116459844633937
200M,2,7,-0.05938892066478729
200M,2,8,-0.011273701675236225
200M,2,9,0.0018126028589904308
200M,2,10,-0.00835417676717043
200M,2,11,-0.003999693319201469
200M,3,0,-0.0036016288213431835
200M,3,1,-0.007545626722276211
200M,3,2,-0.010194431990385056
200M,3,3,0.001296956674195826
200M,3,4,-0.0005405081901699305
200M,3,5,-0.006109869573265314
200M,3,6,0.021491870284080505
200M,3,7,-0.006393164396286011
200M,3,8,-0.0059111472219228745
200M,3,9,-0.034306518733501434
200M,3,10,-0.01392833050340414
200M,3,11,-0.01903965137898922
200M,4,0,-0.013530293479561806
200M,4,1,-0.003625523764640093
200M,4,2,-0.06444858014583588
200M,4,3,-0.002966816071420908
200M,4,4,0.0072683775797486305
200M,4,5,-0.04612097516655922
200M,4,6,-0.09965318441390991
200M,4,7,0.0005143533344380558
200M,4,8,0.0018512295791879296
200M,4,9,-0.007169651333242655
200M,4,10,-0.02281116135418415
200M,4,11,0.0027803757693618536
200M,5,0,-0.018462128937244415
200M,5,1,0.007529336493462324
200M,5,2,-0.004740392789244652
200M,5,3,-0.04946361482143402
200M,5,4,0.008958662860095501
200M,5,5,0.00477155577391386
200M,5,6,-0.050806060433387756
200M,5,7,-0.02893548458814621
200M,5,8,-0.04732668027281761
200M,5,9,0.007260540965944529
200M,5,10,-0.03542325273156166
200M,5,11,-0.004625221248716116
200M,6,0,0.008723932318389416
200M,6,1,-0.0299974512308836
200M,6,2,-0.025105781853199005
200M,6,3,0.01182261947542429
200M,6,4,0.0020468735601752996
200M,6,5,-0.011589146219193935
200M,6,6,0.0027846565935760736
200M,6,7,-0.041234470903873444
200M,6,8,-0.008116128854453564
200M,6,9,0.009167131967842579
200M,6,10,-0.04069379344582558
200M,6,11,0.05814426392316818
200M,7,0,-0.006585053633898497
200M,7,1,0.03542939946055412
200M,7,2,-0.004155414178967476
200M,7,3,-0.006162014324218035
200M,7,4,0.02043849788606167
200M,7,5,-0.005288917105644941
200M,7,6,-0.06532537192106247
200M,7,7,-0.01367199420928955
200M,7,8,-0.12324845790863037
200M,7,9,-0.020915133878588676
200M,7,10,0.0012081745080649853
200M,7,11,0.005825132597237825
200M,8,0,-0.34172841906547546
200M,8,1,0.02290680818259716
200M,8,2,-0.018320316448807716
200M,8,3,0.0981999933719635
200M,8,4,-0.08893619477748871
200M,8,5,0.019779816269874573
200M,8,6,0.0609901137650013
200M,8,7,-0.015810444951057434
200M,8,8,0.06721454113721848
200M,8,9,0.0011089188046753407
200M,8,10,-0.009907947853207588
200M,8,11,0.006348445545881987
200M,9,0,0.019536564126610756
200M,9,1,-0.008655761368572712
200M,9,2,-0.07637050002813339
200M,9,3,0.018927913159132004
200M,9,4,-0.03762855753302574
200M,9,5,-0.07026763260364532
200M,9,6,-0.048695892095565796
200M,9,7,-0.09371049702167511
200M,9,8,0.009654889814555645
200M,9,9,0.06933426111936569
200M,9,10,-0.04764679819345474
200M,9,11,-0.015012744814157486
200M,10,0,0.017500348389148712
200M,10,1,-0.0011894681956619024
200M,10,2,-0.26235464215278625
200M,10,3,-0.008998983539640903
200M,10,4,-0.005788937211036682
200M,10,5,-0.1615169197320938
200M,10,6,0.031218435615301132
200M,10,7,-0.09508046507835388
200M,10,8,0.00689705042168498
200M,10,9,-0.026531660929322243
200M,10,10,0.0038151443004608154
200M,10,11,0.018615715205669403
200M,11,0,0.02197256311774254
200M,11,1,0.002538180211558938
200M,11,2,0.00987720862030983
200M,11,3,-0.006250189617276192
200M,11,4,0.044584114104509354
200M,11,5,0.0006046661292202771
200M,11,6,0.008941092528402805
200M,11,7,-0.024492990225553513
200M,11,8,-0.0009466608171351254
